,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1819,WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10
1820,WILLAMAGOR,Williamson Magor & Company Limited,EQ,08-FEB-1995,10,1,INE210A01017,10
1821,WINDLAS,Windlas Biotech Limited,EQ,16-AUG-2021,5,1,INE0H5O01029,5
1822,WINDMACHIN,Windsor Machines Limited,EQ,17-AUG-2011,2,1,INE052A01021,2
1823,WINPRO,WinPro Industries Limited,BE,19-AUG-2019,5,1,INE974C01022,5
1824,WIPL,The Western India Plywoods Limited,BE,17-APR-2017,10,1,INE215F01023,10
1825,WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2
1826,WOCKPHARMA,Wockhardt Limited,EQ,23-FEB-2000,5,1,INE049B01025,5
1827,WONDERLA,Wonderla Holidays Limited,EQ,09-MAY-2014,10,1,INE066O01014,10
1828,WORTH,Worth Peripherals Limited,EQ,04-AUG-2020,10,1,INE196Y01018,10
1829,WSTCSTPAPR,West Coast Paper Mills Limited,EQ,17-JAN-2001,2,1,INE976A01021,2
1830,XCHANGING,Xchanging Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10
1831,XELPMOC,Xelpmoc Design And Tech Limited,EQ,04-FEB-2019,10,1,INE01P501012,10
1832,XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
1833,YAARI,Yaari Digital Integrated Services Limited,EQ,18-AUG-2011,2,1,INE126M01010,2
1834,YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2
1835,YUKEN,Yuken India Limited,EQ,02-SEP-2021,10,1,INE384C01016,10
1836,ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1
1837,ZEELEARN,Zee Learn Limited,EQ,20-DEC-2010,1,1,INE565L01011,1
1838,ZEEMEDIA,Zee Media Corporation Limited,EQ,10-JAN-2007,1,1,INE966H01019,1
1839,ZENITHEXPO,Zenith Exports Limited,EQ,10-JUL-1996,10,1,INE058B01018,10
1840,ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10
1841,ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2
1842,ZENTEC,Zen Technologies Limited,EQ,30-MAR-2015,1,1,INE251B01027,1
1843,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5
1844,ZIMLAB,Zim Laboratories Limited,EQ,25-NOV-2022,10,1,INE518E01015,10
1845,ZODIAC,Zodiac Energy Limited,EQ,14-DEC-2021,10,1,INE761Y01019,10
1846,ZODIACLOTH,Zodiac Clothing Company Limited,EQ,27-SEP-1995,10,1,INE206B01013,10
1847,ZOMATO,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1
1848,ZOTA,Zota Health Care LImited,EQ,19-AUG-2019,10,1,INE358U01012,10
1849,ZUARI,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10,1,INE840M01016,10
1850,ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10,1,INE217A01012,10
1851,ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1
1852,ZYDUSWELL,Zydus Wellness Limited,EQ,13-NOV-2009,10,1,INE768C01010,10
