,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
175,AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10
176,BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10,1,INE878I01022,10
177,BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2
178,BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10
179,BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1
180,BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2
181,BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1
182,BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5
183,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1
184,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10
185,BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2
186,BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2
187,BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2
188,BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,10,1,INE618N01014,10
189,BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10
190,BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2
191,BALLARPUR,Ballarpur Industries Limited,BZ,31-MAR-2008,2,1,INE294A01037,2
192,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10
193,BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
194,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1
195,BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10,1,INE655B01011,10
196,BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10
197,BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2
198,BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10
199,BANG,Bang Overseas Limited,EQ,20-FEB-2008,10,1,INE863I01016,10
200,BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,10,1,INE862Y01015,10
201,BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2
202,BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10
203,BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5
204,BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5,1,INE382M01027,5
205,BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10
206,BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5,1,INE186H01022,5
207,BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5
208,BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10
209,BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,10,1,INE464A01028,10
210,BBOX,Black Box Limited,EQ,22-JUL-2003,2,1,INE676A01027,2
211,BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2
212,BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10,1,INE01EE01011,10
213,BCG,Brightcom Group Limited,EQ,08-MAY-2015,2,1,INE425B01027,2
214,BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,10,1,INE412G01016,10
215,BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10,1,INE977Y01011,10
216,BCP,B.C. Power Controls Ltd,EQ,19-AUG-2019,2,1,INE905P01028,2
217,BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,10,1,INE171Z01018,10
218,BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2
219,BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10,1,INE495P01012,10
220,BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10
221,BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1
222,BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10
223,BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1
224,BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1
225,BESTAGRO,Best Agrolife Limited,EQ,22-FEB-2021,10,1,INE052T01013,10
226,BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5,1,INE878K01010,5
227,BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5
228,BGRENERGY,BGR Energy Systems Limited,EQ,03-JAN-2008,10,1,INE661I01014,10
229,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,10,1,INE414D01019,10
230,BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5,1,INE354C01027,5
231,BHAGYANGR,Bhagyanagar India Limited,EQ,17-MAY-2017,2,1,INE458B01036,2
232,BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1,1,INE474E01029,1
233,BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2
234,BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10,1,INE561C01019,10
235,BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10
236,BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,10,1,INE316L01019,10
237,BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5
238,BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2
239,BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2,1,INE412U01025,2
240,BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
241,BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
242,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-AUG-1996,10,1,INE143A01010,10
243,BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
244,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10,1,INE829A01014,10
245,BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10,1,INE800A01015,10
246,BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10
247,BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008,1,1,INE865C01022,1
248,BKMINDST,Bkm Industries Limited,BZ,30-MAR-2015,1,1,INE831Q01016,1
249,BLBLIMITED,BLB Limited,EQ,31-MAY-2000,1,1,INE791A01024,1
250,BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,INE416D01022,1
251,BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1,1,INE350H01032,1
252,BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1
253,BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10
254,BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
255,BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2,1,INE338D01028,2
256,BOHRAIND,Bohra Industries Limited,BE,27-OCT-2022,10,1,INE802W01023,10
257,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,INE032A01023,2
258,BOROLTD,Borosil Limited,EQ,22-JUL-2020,1,1,INE02PY01013,1
259,BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1
260,BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10
261,BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10
262,BPL,BPL Limited,EQ,14-JUN-1995,10,1,INE110A01019,10
263,BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10
264,BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1
265,BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,10,1,INE727S01012,10
266,BROOKS,Brooks Laboratories Limited,EQ,05-SEP-2011,10,1,INE650L01011,10
267,BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2
268,BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-OCT-2020,1,1,INE032Z01020,1
269,BSL,BSL Limited,BE,27-JUL-1995,10,1,INE594B01012,10
270,BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2
271,BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10
272,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10,1,INE295F01017,10
273,BVCL,Barak Valley Cements Limited,EQ,23-NOV-2007,10,1,INE139I01011,10
274,BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,10,1,INE319B01014,10
275,CALSOFT,California Software Company Limited,EQ,28-JUN-2000,10,1,INE526B01014,10
276,CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1,1,INE052I01032,1
277,CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5,1,INE278Y01022,5
278,CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10,1,INE596I01012,10
279,CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10
280,CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2
281,CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,10,1,INE068L01016,10
282,CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10,1,INE264T01014,10
283,CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2
284,CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10,1,INE707C01018,10
285,CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1
286,CAREERP,Career Point Limited,EQ,06-OCT-2010,10,1,INE521J01018,10
287,CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10,1,INE752H01013,10
288,CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,10,1,INE290S01011,10
289,CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2,1,INE482D01024,2
290,CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5
291,CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-FEB-2015,2,1,INE652F01027,2
292,CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2
293,CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10
294,CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10
295,CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10
296,CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10,1,INE485A01015,10
297,CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,1,1,INE281A01026,1
298,CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10
299,CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1,1,INE660C01027,1
300,CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10
301,CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1
302,CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
303,CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5
304,CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-JUN-2013,10,1,INE345B01019,10
305,CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1
306,CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,2,1,INE180C01026,2
307,CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2
308,CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10
309,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10
310,CHEMBOND,Chembond Chemicals Ltd,EQ,20-NOV-2019,5,1,INE995D01025,5
311,CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,INE03YM01018,10
312,CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10
313,CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5
314,CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10
315,CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10,1,INE974B01016,10
316,CHOICEIN,Choice International Limited,EQ,08-APR-2022,10,1,INE102B01014,10
317,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2
318,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1
319,CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10,1,INE675C01017,10
320,CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5
321,CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,2,1,INE039B01026,2
322,CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2
323,CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1
324,CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5,1,INE201M01029,5
325,CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-JUN-1995,10,1,INE492A01029,10
326,CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2,1,INE419D01026,2
327,CMICABLES,CMI Limited,EQ,29-NOV-2016,10,1,INE981B01011,10
328,CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10,1,INE925R01014,10
329,COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10
330,COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021,10,1,INE377E01016,10
331,COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,10,1,INE704P01017,10
332,COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10,1,INE335K01011,10
333,COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
334,COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1
335,COMPINFO,Compuage Infocom Limited,EQ,07-JUL-2016,2,1,INE070C01037,2
336,COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2,1,INE453B01029,2
337,CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5
338,CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1,1,INE552D01024,1
339,CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10
340,CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10
341,CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,2,1,INE558D01021,2
342,CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10,1,INE792I01017,10
343,COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1
344,COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,10,1,INE757A01017,10
345,COUNCODOS,Country Condo's Limited,BE,22-JAN-2009,1,1,INE695B01025,1
346,CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,INE00LO01017,5
347,CREATIVE,Creative Newtech Limited,EQ,05-AUG-2019,10,1,INE985W01018,10
348,CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,5,1,INE230B01021,5
349,CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10
350,CREST,Crest Ventures Limited,EQ,27-DEC-2006,10,1,INE559D01011,10
351,CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1
352,CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2
353,CROWN,Crown Lifters Limited,BE,08-FEB-2022,10,1,INE491V01019,10
354,CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10
355,CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,10,1,INE718F01018,10
356,CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10,1,INE627H01017,10
357,CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1
358,CUBEXTUB,Cubex Tubings Limited,EQ,24-APR-1996,10,1,INE144D01012,10
359,CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2
360,CUPID,Cupid Limited,EQ,16-SEP-2016,10,1,INE509F01011,10
361,CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,10,1,INE278G01037,10
362,CYBERTECH,Cybertech Systems And Software Limited,EQ,27-JAN-1999,10,1,INE214A01019,10
363,CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5
364,DAAWAT,LT Foods Limited,EQ,18-DEC-2006,1,1,INE818H01020,1
365,DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1
366,DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2
367,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2,1,INE495A01022,2
368,DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5,1,INE497D01022,5
369,DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1
370,DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5,1,INE365B01017,5
371,DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2
372,DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10
373,DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10
374,DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10
375,DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
376,DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2,1,INE921B01025,2
377,DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2,1,INE385W01011,2
378,DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10
379,DCI,Dc Infotech And Communication Limited,BE,19-OCT-2022,10,1,INE0A1101019,10
380,DCM,DCM  Limited,EQ,29-MAR-1995,10,1,INE498A01018,10
381,DCMFINSERV,DCM Financial Services Limited,EQ,21-MAY-1997,10,1,INE891B01012,10
382,DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,10,1,INE08KP01019,10
383,DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2
384,DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2,1,INE843D01027,2
385,DCW,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2
386,DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,2,1,INE0KL801015,2
387,DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5,1,INE583C01021,5
388,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10
389,DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2
390,DEEPENR,DEEP ENERGY RESOURCES LIMITED,EQ,09-MAR-2010,10,1,INE677H01012,10
391,DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,10,1,INE0FHS01016,10
392,DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1
393,DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,10,1,INE726L01019,10
394,DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1
395,DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,10,1,INE393A01011,10
396,DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10
397,DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
398,DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,5,1,INE060X01026,5
399,DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1
400,DFMFOODS,DFM Foods Limited,EQ,29-DEC-2016,2,1,INE456C01020,2
401,DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,INE03JI01017,2
402,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10
403,DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10,1,INE680A01011,10
404,DHANI,Dhani Services Limited,EQ,02-APR-2008,2,1,INE274G01010,2
405,DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2
406,DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10,1,INE00OQ01016,10
407,DHARSUGAR,Dharani Sugars&Chemicals Limited,BZ,22-MAY-1996,10,1,INE988C01014,10
408,DHRUV,Dhruv Consultancy Services Limited,EQ,25-NOV-2021,10,1,INE506Z01015,10
409,DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10
410,DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5
411,DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10
412,DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,3,1,INE927C01020,3
413,DIL,Debock Industries Limited,EQ,31-MAR-2022,10,1,INE411Y01011,10
414,DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1
415,DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
416,DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2
417,DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10,1,INE0B1K01014,10
418,DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
419,DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2
420,DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10
421,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10,1,INE505A01010,10
422,DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,INE016M01021,1
423,DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10,1,INE021O01019,10
424,DOLATALGO,Dolat Algotech Limited,EQ,19-AUG-2019,1,1,INE966A01022,1
425,DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2,1,INE325C01035,2
426,DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2
427,DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020,10,1,INE266Y01019,10
428,DPSCLTD,DPSC Limited,EQ,21-APR-2008,1,1,INE360C01024,1
429,DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10,1,INE864X01013,10
430,DRCSYSTEMS,DRC Systems India Limited,BE,10-MAR-2021,1,1,INE03RS01027,1
431,DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,2,1,INE0JS101016,2
432,DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10
433,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5
434,DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10,1,INE417B01040,10
435,DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10,1,INE341R01014,10
436,DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,1,1,INE741L01018,1
437,DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10,1,INE477B01010,10
438,DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1,1,INE366A01041,1
439,DYCL,Dynamic Cables Limited,EQ,27-JUL-2022,10,1,INE600Y01019,10
440,DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10,1,INE221B01012,10
441,DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,10,1,INE256H01015,10
442,E2E,E2E Networks Limited,EQ,12-APR-2022,10,1,INE255Z01019,10
443,EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1,1,INE07O001026,1
444,EASTSILK,Eastern Silk Industries Limited,BE,03-JUL-1996,2,1,INE962C01027,2
445,ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10
446,EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1,1,INE532F01054,1
447,EDUCOMP,Educomp Solutions Limited,BZ,13-JAN-2006,2,1,INE216H01027,2
448,EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,INE066A01021,1
449,EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1
450,EIFFL,Euro India Fresh Foods Limited,EQ,12-OCT-2021,10,1,INE546V01010,10
451,EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10,1,INE276C01014,10
452,EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2
453,EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,10,1,INE158B01016,10
454,EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2
455,ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2,1,INE668G01021,2
456,ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,INE205B01023,2
457,ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1
458,ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10
459,ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1
460,ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1,1,INE819L01012,1
461,EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1
462,EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2,1,INE830C01026,2
463,EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,2,1,INE778K01012,2
464,EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10,1,INE02YR01019,10
